epoch	loss	acc	val_loss	val_acc
0	20.92544037629135	0.32052896725440805	14.528820082328062	0.3877551020408163
1	10.07683490625857	0.6000472292191436	8.028596855808624	0.46647230320699706
2	5.269094292102593	0.7305573047858942	5.030587074707966	0.4972667638483965
3	3.1170178039248104	0.7922701511335013	3.868847502911404	0.500728862973761
4	2.161695520583568	0.896646725440806	4.140971926141411	0.5768950437317785
5	1.9425763370708495	0.9303369017632241	4.029338939544411	0.5767128279883382
6	1.7977167504560436	0.9393104534005038	3.9098910666763262	0.5858236151603499
7	1.6640583185164695	0.9514326196473551	4.015670449671175	0.5750728862973761
8	1.5821139801959847	0.9593828715365239	3.9043535338198825	0.5942055393586005
9	1.561571850734634	0.9630824937027708	3.9250754184	0.5931122448979592
10	1.549468341642423	0.9628463476070529	3.9045462740406003	0.6029518950437318
11	1.5387846420634004	0.9634760705289672	3.861225605706084	0.6067784256559767
12	1.524453822251231	0.9680415617128464	3.889154115849264	0.6027696793002916
13	1.5268959805406912	0.9670969773299748	3.8894250365109904	0.6029518950437318
14	1.5235970589315861	0.9684351385390428	3.9039209062782043	0.6011297376093294
15	1.5223973773288486	0.9678054156171285	3.903814813485994	0.6024052478134111
